 Mortalidade - Brasil
Óbitos p/Ocorrênc por Região/Unidade da Federação e Unidade da Federação
Causa mal definidas: Afecções originad período perinatal, mal definidas
Faixa Etária: Menor 1 ano
Período:2008-2018
"Região/Unidade da Federação";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"Região Norte";33;48;138;17;532;35;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;830
".. Rondônia";33;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;33
".. Acre";-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48
".. Amazonas";-;-;138;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;138
".. Roraima";-;-;-;17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17
".. Pará";-;-;-;-;532;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;532
".. Amapá";-;-;-;-;-;35;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;35
".. Tocantins";-;-;-;-;-;-;27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;27
"Região Nordeste";-;-;-;-;-;-;-;516;101;149;51;74;109;71;13;810;-;-;-;-;-;-;-;-;-;-;-;1894
".. Maranhão";-;-;-;-;-;-;-;516;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;516
".. Piauí";-;-;-;-;-;-;-;-;101;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;101
".. Ceará";-;-;-;-;-;-;-;-;-;149;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;149
".. Rio Grande do Norte";-;-;-;-;-;-;-;-;-;-;51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;51
".. Paraíba";-;-;-;-;-;-;-;-;-;-;-;74;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;74
".. Pernambuco";-;-;-;-;-;-;-;-;-;-;-;-;109;-;-;-;-;-;-;-;-;-;-;-;-;-;-;109
".. Alagoas";-;-;-;-;-;-;-;-;-;-;-;-;-;71;-;-;-;-;-;-;-;-;-;-;-;-;-;71
".. Sergipe";-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;-;-;-;-;-;-;-;-;-;-;-;-;13
".. Bahia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;810;-;-;-;-;-;-;-;-;-;-;-;810
"Região Sudeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;406;5;79;296;-;-;-;-;-;-;-;786
".. Minas Gerais";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;406;-;-;-;-;-;-;-;-;-;-;406
".. Espírito Santo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5;-;-;-;-;-;-;-;-;-;5
".. Rio de Janeiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;79;-;-;-;-;-;-;-;-;79
".. São Paulo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;296;-;-;-;-;-;-;-;296
"Região Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;69;49;-;-;-;-;188
".. Paraná";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;70;-;-;-;-;-;-;70
".. Santa Catarina";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;69;-;-;-;-;-;69
".. Rio Grande do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-;-;49
"Região Centro-Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;77;85;13;190
".. Mato Grosso do Sul";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;15
".. Mato Grosso";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;77;-;-;77
".. Goiás";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;85;-;85
".. Distrito Federal";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;13;13
"Total";33;48;138;17;532;35;27;516;101;149;51;74;109;71;13;810;406;5;79;296;70;69;49;15;77;85;13;3888
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 No dia 13/06/2019, os arquivos do SIM referentes ao ano de notificação 2017 foram atualizados, com alteração das causas básicas de 2 registros e exclusão de 1 registro.
 
